id,formula,reduced_formula,elements,n_elements,nsites,volume,density,crystal_system,space_group,space_group_number,point_group,dimensionality,corrected_energy,formation_energy_per_atom,decomposition_energy_per_atom,decomposition_energy_relative,bandgap_ev,bandgap_type,gnome_material_id,source,data_version,created_at
Be24Ce1Cu2Nd1,Be24Ce1Cu2Nd1,CeNd(Be12Cu)2,Be; Cu; Ce; Nd,4,28,2791767.0,37338.0,monoclinic,C2,5,2,intercalated ion,-1133359.0,-1675.0,-114.0,-14.0,0.0031,semiconductor,0011530129,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.415289Z
Pa10Sb7Sn1,Pa10Sb7Sn1,Pa10SnSb7,Sn; Sb; Pa,3,18,4664648.0,116812.0,trigonal,P-31m,162,-3m,3D,-1378468.0,-5438.0,-607.0,-37.0,0.0003,semiconductor,0012856261,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.418717Z
Gd2In6Nd1O18Pr3,Gd2In6Nd1O18Pr3,Pr3NdGd2In6O18,O; In; Pr; Nd; Gd,5,30,4619479.0,66802.0,trigonal,P3,143,3,3D,-2401811.0,-29115.0,-131.0,1.0,1.8913,semiconductor,00134446a0,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.421331Z
Co16Er5Li2P12Tm1,Co16Er5Li2P12Tm1,Li2Er5Tm(Co4P3)4,Li; P; Co; Er; Tm,5,36,4719992.0,82103.0,monoclinic,Pm,6,m,intercalated ion,-2447563.0,-9703.0,-162.0,-3.0,0.0036,semiconductor,0013630590,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.424249Z
Li4Nd3Si4Sn2Tm1,Li4Nd3Si4Sn2Tm1,Li4Nd3Tm(Si2Sn)2,Li; Si; Sn; Nd; Tm,5,14,2896339.0,56139.0,orthorhombic,Amm2,38,mm2,intercalated ion,-653419.0,-6575.0,-569.0,-79.0,0.0077,semiconductor,0013a69d85,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.426967Z
Si6Tb8Tm2,Si6Tb8Tm2,Tb4TmSi3,Si; Tb; Tm,3,16,3945791.0,74816.0,trigonal,P-31m,162,-3m,3D,-890232.0,-6528.0,-35.0,-3.0,0.0046,semiconductor,001463909c,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.429841Z
Li3Pr8Ru1Si12,Li3Pr8Ru1Si12,Li3Pr8Si12Ru,Li; Si; Ru; Pr,4,24,5119579.0,51448.0,trigonal,P3m1,156,3m,intercalated ion,-1344027.0,-6688.0,-265.0,-56.0,0.0097,semiconductor,00157c1495,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.432595Z
Cu2Ru2Si4Tb2Tm2,Cu2Ru2Si4Tb2Tm2,TbTmCuSi2Ru,Si; Cu; Ru; Tb; Tm,5,12,2141035.0,85104.0,monoclinic,P2_1/m,11,2/m,3D,-758542.0,-7654.0,-111.0,-24.0,0.0057,semiconductor,0016e20fb5,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.435633Z
Co5Er3In1Tm9,Co5Er3In1Tm9,Er3Tm9InCo5,Co; In; Er; Tm,4,18,4178935.0,96625.0,monoclinic,Cm,8,m,3D,-973159.0,-2798.0,-338.0,0.0,,semiconductor,0017327020,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.438348Z
Pb16Pr16Sm3Tm1,Pb16Pr16Sm3Tm1,Pr16Sm3TmPb16,Pr; Sm; Tm; Pb,4,36,11835377.0,86844.0,monoclinic,Pm,6,m,,-1753524.0,-5784.0,-78.0,-14.0,,semiconductor,00174ce41e,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.441498Z
C12Fe2Nd6Ti2,C12Fe2Nd6Ti2,Nd3TiFeC6,C; Ti; Fe; Nd,4,22,3159809.0,63956.0,hexagonal,P6_3/m,176,6/m,3D,-1792684.0,-3276.0,-662.0,-357.0,0.0077,semiconductor,001756dfcf,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.444266Z
C18Fe12Y11,C18Fe12Y11,Y11(Fe2C3)6,C; Fe; Y,3,41,5266229.0,58785.0,cubic,I-43m,217,-43m,3D,-3509893.0,-296.0,-586.0,-584.0,,semiconductor,00176cd839,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.447024Z
Er3Ru6Si10Tb1,Er3Ru6Si10Tb1,TbEr3(Si5Ru3)2,Si; Ru; Tb; Er,4,20,3266593.0,7869.0,monoclinic,Cm,8,m,,-1445027.0,-8133.0,358.0,3.0,,semiconductor,0018123acb,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.449613Z
Ni6Sc1W1,Ni6Sc1W1,ScNi6W,Sc; Ni; W,3,8,975093.0,98934.0,hexagonal,P-6m2,187,-6m2,3D,-561717.0,-275.0,-123.0,0.0,0.0067,semiconductor,00183cbe80,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.452183Z
Bi9Er19Sb3Sc1,Bi9Er19Sb3Sc1,Er19Sc(Bi3Sb)3,Sc; Sb; Er; Bi,4,32,90735.0,100088.0,triclinic,P1,1,1,3D,-1637844.0,-7271.0,-66.0,8.0,0.0044,semiconductor,00185e3d92,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.454830Z
Cd4Er6Ni2Tc2Tm10,Cd4Er6Ni2Tc2Tm10,Er3Tm5Cd2TcNi,Ni; Tc; Cd; Er; Tm,5,24,6024166.0,95261.0,orthorhombic,Imm2,44,mm2,3D,-1144582.0,-2634.0,-228.0,6.0,0.0017,semiconductor,001a5c230d,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.457623Z
In4Se16Tc12,In4Se16Tc12,InTc3Se4,Se; Tc; In,3,32,9529049.0,50512.0,monoclinic,P2_1/c,14,2/m,3D,-2136699.0,-7.0,-4495.0,-5.0,,semiconductor,001aa9851c,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.460392Z
Co1Mo2Ti8,Co1Mo2Ti8,Ti8CoMo2,Ti; Co; Mo,3,11,1767311.0,59546.0,monoclinic,C2/m,12,2/m,3D,-933097.0,-1224.0,-9.0,8.0,0.0024,semiconductor,001ad01bfc,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.463286Z
Ge1Hg2Mg3Y3,Ge1Hg2Mg3Y3,Y3Mg3Hg2Ge,Mg; Ge; Y; Hg,4,9,2128836.0,63451.0,hexagonal,P-6,174,-6,3D,-33842.0,-4901.0,-204.0,-29.0,0.0143,semiconductor,001afe6bfb,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.465728Z
Be8C2Co3Mo12Ni1,Be8C2Co3Mo12Ni1,Be8Co3Ni(Mo6C)2,Be; C; Co; Ni; Mo,5,26,3031195.0,81235.0,trigonal,R-3m,166,-3m,intercalated ion,-2128376.0,-2775.0,-661.0,-1.0,0.0014,semiconductor,001b598461,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.468218Z
As4Nb3V4Zr1,As4Nb3V4Zr1,ZrNb3(VAs)4,V; As; Zr; Nb,4,12,1895462.0,76515.0,monoclinic,Pm,6,m,3D,-1011729.0,-6124.0,-79.0,-1.0,0.0034,semiconductor,001bbd52ba,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.470677Z
La4Si4Tb1Tm1,La4Si4Tb1Tm1,La4TbTmSi4,Si; La; Tb; Tm,4,10,2672679.0,61871.0,tetragonal,P4/m,83,4/m,3D,-570641.0,-6509.0,-147.0,2.0,0.001,semiconductor,001bfc3301,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.473235Z
Er8Hg1Nb1Si16Ti10,Er8Hg1Nb1Si16Ti10,Er8Ti10NbSi16Hg,Si; Ti; Nb; Er; Hg,5,36,6395965.0,66453.0,monoclinic,C2,5,2,3D,-2406005.0,-7748.0,-207.0,-7.0,inf,semiconductor,001d6331e2,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.475746Z
Co6Ni12P12Sc6,Co6Ni12P12Sc6,ScCo(NiP)2,P; Sc; Co; Ni,4,36,4519851.0,62432.0,orthorhombic,Pmmn,59,mmm,3D,-2490323.0,-9463.0,-362.0,-76.0,0.0035,semiconductor,001d7b3a1d,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.478175Z
Nd8Ru4Tm1Y1,Nd8Ru4Tm1Y1,Nd8YTmRu4,Y; Ru; Nd; Tm,4,14,3907514.0,77175.0,monoclinic,C2,5,2,3D,-896993.0,-251.0,-15.0,1.0,0.0012,semiconductor,001d7c194a,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.481144Z
Cs4Mg2Se8Ti2,Cs4Mg2Se8Ti2,Cs2MgTiSe4,Mg; Ti; Se; Cs,4,16,6112849.0,35522.0,orthorhombic,Fddd,70,mmm,intercalated ion,-746682.0,-1508.0,-1487.0,-48.0,1.7973,semiconductor,001de430cb,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.484776Z
Cs4Ge4La1Nd3Se16,Cs4Ge4La1Nd3Se16,Cs4LaNd3(GeSe4)4,Ge; Se; Cs; La; Nd,5,28,9470502.0,4659.0,triclinic,P1,1,1,intercalated ion,-1374632.0,-14362.0,-321.0,0.0,1.6679,semiconductor,001e7a0d7b,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.487519Z
Sc11Si16Sm5Tb3Tc1,Sc11Si16Sm5Tb3Tc1,Tb3Sm5Sc11Si16Tc,Si; Sc; Tc; Sm; Tb,5,36,7321859.0,51492.0,triclinic,P1,1,1,3D,-2331198.0,-8.0,-227.0,7.0,0.0018,semiconductor,001e7e3bf4,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.489986Z
La3Li4Pr1Si8,La3Li4Pr1Si8,Li4La3PrSi8,Li; Si; La; Pr,4,16,3271918.0,41112.0,monoclinic,Pm,6,m,intercalated ion,-798336.0,-5754.0,-423.0,-198.0,0.017,semiconductor,001fe2d64e,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.492465Z
Bi4Co4Nd20Sn4,Bi4Co4Nd20Sn4,Nd5CoSnBi,Co; Sn; Nd; Bi,4,32,9574348.0,76855.0,triclinic,P1,1,1,3D,-1722452.0,-5266.0,-98.0,-1.0,0.0013,semiconductor,0020430af5,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.495092Z
Al6Mo3Ru12Ti3,Al6Mo3Ru12Ti3,TiAl2MoRu4,Al; Ti; Mo; Ru,4,24,3426733.0,87523.0,orthorhombic,Pmmm,47,mmm,3D,-2046847.0,-6123.0,-51.0,-116.0,0.0025,semiconductor,00216b926e,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.497746Z
Nd5Pr1Sn6Tm4,Nd5Pr1Sn6Tm4,PrNd5(Tm2Sn3)2,Sn; Pr; Nd; Tm,4,16,4813343.0,77626.0,orthorhombic,Amm2,38,mm2,3D,-817633.0,-6988.0,-78.0,2.0,0.0219,semiconductor,00218f3a9d,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.500308Z
Cu14Ga12Sr2,Cu14Ga12Sr2,SrGa6Cu7,Cu; Ga; Sr,3,28,4272385.0,73908.0,orthorhombic,Ibam,72,mmm,,-1038884.0,-2423.0,-365.0,-304.0,,semiconductor,0021d53210,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.504393Z
Bi4La1O14Y3,Bi4La1O14Y3,LaY3(Bi2O7)2,O; Y; La; Bi,4,22,3344819.0,72757.0,triclinic,P1,1,1,,-167577.0,-2655.0,-552.0,-43.0,,semiconductor,00222d9783,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.506885Z
In3Se25,In3Se25,In3Se25,Se; In,2,28,7664548.0,5023.0,monoclinic,Pm,6,m,1D,-1078101.0,-4342.0,-2194.0,-2194.0,0.002,semiconductor,0022c4394c,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.509336Z
Ba2Fe4Mn8O24,Ba2Fe4Mn8O24,BaMn4(FeO6)2,O; Mn; Fe; Ba,4,38,4473164.0,49058.0,triclinic,P1,1,1,intercalated ion,-3054971.0,-19929.0,-205.0,9.0,0.5316,semiconductor,0022dece73,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.511779Z
C1Mg1Sc3,C1Mg1Sc3,MgSc3C,C; Mg; Sc,3,5,982414.0,28935.0,cubic,Pm-3m,221,m-3m,intercalated ion,-313243.0,-3.0,-3.0,0.0,0.0102,semiconductor,0023476fdb,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.514287Z
Nd2O20Pr6Ti4,Nd2O20Pr6Ti4,Pr3NdTi2O10,O; Ti; Pr; Nd,4,32,4898534.0,55776.0,monoclinic,P2_1/m,11,2/m,,-2892734.0,-3766.0,2.0,1.0,,semiconductor,0024909258,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.516873Z
Cs12S14Sb4Se2,Cs12S14Sb4Se2,Cs6Sb2SeS7,S; Se; Sb; Cs,4,32,12549723.0,35576.0,monoclinic,P2_1,4,2,intercalated ion,-129213.0,-11578.0,-8.0,5.0,1.9963,semiconductor,0024ba3671,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.519369Z
Co4Sn23Tc2Tm7,Co4Sn23Tc2Tm7,Tm7Co4Tc2Sn23,Co; Tc; Sn; Tm,4,36,8232849.0,87629.0,monoclinic,C2/m,12,2/m,3D,-1861175.0,-3726.0,-33.0,-19.0,0.0081,semiconductor,0024e85c1f,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.521867Z
C2Er1P2Ru4Y1,C2Er1P2Ru4Y1,YErP2(Ru2C)2,C; P; Y; Ru; Er,5,10,1474459.0,84061.0,orthorhombic,Amm2,38,mm2,3D,-841441.0,-6732.0,-9.0,0.0,0.016,semiconductor,002624112c,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.524313Z
La2Mo2Nd2O20Se4,La2Mo2Nd2O20Se4,LaNdMo(SeO5)2,O; Se; Mo; La; Nd,5,30,4617791.0,50128.0,triclinic,P1,1,1,3D,-2276948.0,-24551.0,-184.0,6.0,3.323,semiconductor,002639f063,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.526689Z
Ba4Ga4Ge1O14Si1,Ba4Ga4Ge1O14Si1,Ba4Ga4SiGeO14,O; Si; Ga; Ge; Ba,5,24,3923109.0,488.0,triclinic,P1,1,1,intercalated ion,-1665314.0,-28093.0,-136.0,0.0,2.968,semiconductor,0027d60140,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.529095Z
P1Pb6S1Y10,P1Pb6S1Y10,Y10PPb6S,P; S; Y; Pb,4,18,4926629.0,73993.0,trigonal,P-31m,162,-3m,3D,-1135656.0,-9486.0,-727.0,-44.0,0.0196,semiconductor,00281d03b2,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.531591Z
Mo12P1Sc8Si15,Mo12P1Sc8Si15,Sc8Si15Mo12P,Si; P; Sc; Mo,4,36,564544.0,57745.0,triclinic,P1,1,1,,-294321.0,-7422.0,72.0,-201.0,,semiconductor,00283d60be,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.534090Z
Er4Mo1Ru5Tc2,Er4Mo1Ru5Tc2,Er4Tc2MoRu5,Mo; Tc; Ru; Er,4,12,2174125.0,111994.0,monoclinic,Pm,6,m,3D,-100181.0,-3309.0,-305.0,-15.0,0.0067,semiconductor,0028a0f890,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.536578Z
Nd20Sn14Te2,Nd20Sn14Te2,Nd10Sn7Te,Sn; Te; Nd,3,36,11299392.0,70569.0,monoclinic,P2_1,4,2,3D,-1886208.0,-8566.0,-116.0,7.0,inf,semiconductor,0028b71867,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.539123Z
Er4Mn1Ni13,Er4Mn1Ni13,Er4MnNi13,Mn; Ni; Er,3,18,2539044.0,97249.0,monoclinic,C2/m,12,2/m,3D,-1099051.0,-4072.0,-85.0,-8.0,0.0002,semiconductor,002976708e,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.541629Z
La8Sn6Y2,La8Sn6Y2,La4YSn3,Y; Sn; La,3,16,506195.0,65652.0,tetragonal,I4/mcm,140,4/mmm,3D,-881616.0,-7302.0,-125.0,-115.0,0.0009,semiconductor,002ad4b7e5,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.544183Z
La8Si16Sm4Tb8,La8Si16Sm4Tb8,La2Tb2SmSi4,Si; La; Sm; Tb,4,36,9171591.0,62164.0,triclinic,P1,1,1,3D,-2078065.0,-7101.0,-162.0,-2.0,0.0005,semiconductor,002b8e87c1,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.546871Z
Cd1Nb9Se16,Cd1Nb9Se16,Nb9CdSe16,Se; Nb; Cd,3,26,588913.0,62369.0,trigonal,P-3m1,164,-3m,3D,-1773753.0,-11387.0,-146.0,-4.0,0.0074,semiconductor,002d0f9de5,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.549516Z
P2Sn6Tm4Y6,P2Sn6Tm4Y6,Y3Tm2Sn3P,P; Y; Sn; Tm,4,18,4705623.0,6999.0,hexagonal,P6_3/mcm,193,6/mmm,3D,-1089879.0,-9668.0,-191.0,7.0,,semiconductor,002d98d2a1,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.552409Z
Ba3O9Tm3Y1,Ba3O9Tm3Y1,Ba3YTm3O9,O; Y; Ba; Tm,4,16,2714971.0,7044.0,trigonal,R3,146,3,,-1279263.0,-3609.0,0.0,-5.0,,semiconductor,002f1d5f95,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.555513Z
Ba3La1O24Sr4Ti8,Ba3La1O24Sr4Ti8,Ba3Sr4LaTi8O24,O; Ti; Sr; Ba; La,5,40,50435.0,54927.0,tetragonal,P4/mmm,123,4/mmm,intercalated ion,-3415404.0,-35544.0,-99.0,6.0,0.0066,semiconductor,003029a69a,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.558192Z
Ni16P12Pr6Sc2,Ni16P12Pr6Sc2,Pr3Sc(Ni4P3)2,P; Sc; Ni; Pr,4,36,5394933.0,69135.0,orthorhombic,Pmmn,59,mmm,3D,-2343564.0,-9879.0,-179.0,-101.0,,semiconductor,0030320ea2,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.560806Z
Fe6Mn11P12Tb4Ti3,Fe6Mn11P12Tb4Ti3,Tb4Ti3Mn11(FeP2)6,P; Ti; Mn; Fe; Tb,5,36,4789474.0,72475.0,monoclinic,Pm,6,m,3D,-2903358.0,-8764.0,-193.0,-76.0,inf,semiconductor,0030970752,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.563422Z
Bi2Ce2Co2Sb2,Bi2Ce2Co2Sb2,CeCoBiSb,Co; Sb; Ce; Bi,4,8,192651.0,9133.0,tetragonal,P4/nmm,129,4/mmm,3D,-469783.0,-6072.0,-224.0,-63.0,0.0011,semiconductor,0031212234,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.566234Z
Cu2K1Sb2Tb1,Cu2K1Sb2Tb1,KTb(CuSb)2,K; Cu; Sb; Tb,4,6,1559908.0,60532.0,trigonal,P-3m1,164,-3m,intercalated ion,-259256.0,-6207.0,-31.0,1.0,0.0297,semiconductor,00312fef48,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.568853Z
La6Nd8Ni6,La6Nd8Ni6,La3Nd4Ni3,Ni; La; Nd,3,20,5561708.0,6985.0,monoclinic,Cm,8,m,3D,-1066716.0,-2115.0,-12.0,9.0,0.0024,semiconductor,0031328579,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.571251Z
In6Ni20P6Sn4,In6Ni20P6Sn4,In3Ni10Sn2P3,P; Ni; In; Sn,4,36,5271834.0,79485.0,triclinic,P-1,2,-1,3D,-1938334.0,-3667.0,-99.0,-77.0,0.0041,semiconductor,003144eb09,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.573667Z
B4Co9Si2Tm3,B4Co9Si2Tm3,Tm3Co9(SiB2)2,B; Si; Co; Tm,4,18,2077336.0,90857.0,hexagonal,P6/mmm,191,6/mmm,3D,-1260423.0,-6151.0,-385.0,-53.0,0.0026,semiconductor,0031523fd5,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.576284Z
Cu4Ga4Pa1Tb1,Cu4Ga4Pa1Tb1,TbPa(GaCu)4,Cu; Ga; Tb; Pa,4,10,1716582.0,8929.0,tetragonal,P4mm,99,4mm,3D,-461177.0,-346.0,-37.0,-28.0,0.0033,semiconductor,003192f9f4,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.578715Z
Na3Pr5Te8,Na3Pr5Te8,Na3Pr5Te8,Na; Te; Pr,3,16,5358128.0,55607.0,trigonal,R-3m,166,-3m,intercalated ion,-782444.0,-15766.0,-124.0,-47.0,0.0012,semiconductor,0032810a4c,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.581141Z
O13Pb4W3Y1,O13Pb4W3Y1,YPb4W3O13,O; Y; W; Pb,4,21,3168553.0,87898.0,trigonal,R3m,160,3m,,-1704649.0,-21881.0,-164.0,-156.0,,semiconductor,0032aede2e,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.583616Z
Ac6Li4Sb6,Ac6Li4Sb6,Li2(AcSb)3,Li; Sb; Ac,3,16,499042.0,70553.0,hexagonal,P6_3/mmc,194,6/mmm,intercalated ion,-739079.0,-10482.0,-8119.0,-11.0,,semiconductor,0033282f8c,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.586202Z
Fe7Ni13P13Zr6,Fe7Ni13P13Zr6,Zr6Fe7(NiP)13,P; Fe; Ni; Zr,4,39,4877329.0,71631.0,monoclinic,Pm,6,m,3D,-2903191.0,-8776.0,-191.0,4.0,inf,semiconductor,0033433e6b,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.590179Z
Al19Ca1Ru4Si1Tb1,Al19Ca1Ru4Si1Tb1,CaTbAl19SiRu4,Al; Si; Ca; Ru; Tb,5,26,4274775.0,44439.0,monoclinic,Pm,6,m,intercalated ion,-1330129.0,-4878.0,-75.0,7.0,0.008,semiconductor,0033b4555c,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.592716Z
K2O12W4,K2O12W4,K(WO3)2,O; K; W,3,18,2900799.0,57562.0,orthorhombic,Ima2,46,mm2,intercalated ion,-1538765.0,-22471.0,-88.0,-41.0,1.7351,semiconductor,0033d0c8ce,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.599310Z
Co1Ni1Pb4Ti8,Co1Ni1Pb4Ti8,Ti8CoNiPb4,Ti; Co; Ni; Pb,4,14,2757825.0,80043.0,tetragonal,I422,97,422,3D,-932329.0,-1664.0,-181.0,-13.0,0.0002,semiconductor,0033fb635a,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.602110Z
Er1Li4O16Si4Y3,Er1Li4O16Si4Y3,Li4Y3Er(SiO4)4,Li; O; Si; Y; Er,5,28,3401265.0,40525.0,triclinic,P1,1,1,intercalated ion,-2282593.0,-3421.0,-68.0,0.0,5.1203,semiconductor,0034c0c663,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.605162Z
Ba3Mn4Ni2P6,Ba3Mn4Ni2P6,Ba3Mn4(NiP3)2,P; Mn; Ni; Ba,4,15,2818661.0,55081.0,orthorhombic,Immm,71,mmm,intercalated ion,-983606.0,-7944.0,-285.0,-23.0,,semiconductor,0035ab7597,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.607715Z
Ga3Ru4Si1Tb3Tm1,Ga3Ru4Si1Tb3Tm1,Tb3TmGa3SiRu4,Si; Ga; Ru; Tb; Tm,5,12,2277681.0,93846.0,monoclinic,Pm,6,m,3D,-776746.0,-6407.0,-432.0,6.0,,semiconductor,0035b15d54,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.610790Z
Bi6O14Tb2,Bi6O14Tb2,TbBi3O7,O; Tb; Bi,3,22,3410508.0,87432.0,triclinic,P-1,2,-1,3D,-1486913.0,-21278.0,-391.0,-5.0,1.1757,semiconductor,0036ce48a2,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.621272Z
Ba6Nb7O21,Ba6Nb7O21,Ba6Nb7O21,O; Nb; Ba,3,34,4926086.0,61023.0,trigonal,R-3,148,-3,intercalated ion,-294814.0,-31966.0,-11.0,-8.0,0.0027,semiconductor,0037f656a6,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.624896Z
Si2Te26W4,Si2Te26W4,SiTe13W2,Si; Te; W,3,32,12681915.0,53804.0,monoclinic,P2_1,4,2,2D,-1515964.0,-2246.0,-1406.0,7.0,,semiconductor,00381ff66f,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.628610Z
Bi4Ca10Pb2,Bi4Ca10Pb2,Ca5Bi2Pb,Ca; Pb; Bi,3,16,5380942.0,50952.0,orthorhombic,Amm2,38,mm2,intercalated ion,-550486.0,-7504.0,-103.0,-48.0,0.0028,semiconductor,0038388f9d,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.633010Z
Ca4La4Ru4Y2,Ca4La4Ru4Y2,Ca2La2YRu2,Ca; Y; Ru; La,4,14,4069832.0,52961.0,monoclinic,C2/c,15,2/m,intercalated ion,-810735.0,-234.0,-211.0,-1.0,0.0009,semiconductor,00384f227c,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.636961Z
Cu1Ni3Y4,Cu1Ni3Y4,Y4CuNi3,Ni; Cu; Y,3,8,1645007.0,60087.0,monoclinic,Pm,6,m,3D,-504462.0,-3926.0,-41.0,4.0,0.0053,semiconductor,0038834783,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.642202Z
Er9In2Sb4Tb1,Er9In2Sb4Tb1,TbEr9(InSb2)2,In; Sb; Tb; Er,4,16,4399268.0,8987.0,monoclinic,Pm,6,m,3D,-803343.0,-7857.0,-228.0,1.0,0.0032,semiconductor,00392389b2,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.644837Z
Nb2O24P6V2,Nb2O24P6V2,NbV(PO4)3,O; P; V; Nb,4,34,4840628.0,29417.0,monoclinic,C2,5,2,,-2835897.0,-27644.0,-81.0,-7.0,,semiconductor,00393b5ecd,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.647341Z
Ba6O18Tb2Tc4,Ba6O18Tb2Tc4,Ba3TbTc2O9,O; Tc; Ba; Tb,4,30,4554283.0,66425.0,hexagonal,P6_3/mmc,194,6/mmm,intercalated ion,-2362512.0,-28321.0,-1127.0,-258.0,0.0037,semiconductor,00399261d9,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.649830Z
Co1Ga4Ni1Tm2,Co1Ga4Ni1Tm2,Tm2Ga4CoNi,Co; Ni; Ga; Tm,4,8,1352522.0,90163.0,orthorhombic,Amm2,38,mm2,3D,-387587.0,-6008.0,-257.0,-15.0,0.0031,semiconductor,003993cd63,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.655865Z
B4Co4Mo3W1,B4Co4Mo3W1,Co4B4Mo3W,B; Co; Mo; W,4,12,1246291.0,100014.0,monoclinic,Pm,6,m,,-1058871.0,-4368.0,0.0,3.0,,semiconductor,00399eaa1a,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.662020Z
Tc4Tm6,Tc4Tm6,Tm3Tc2,Tc; Tm,2,10,2180406.0,107047.0,trigonal,R-3c,167,-3m,3D,-699625.0,-1665.0,-176.0,-24.0,,semiconductor,0039ec433e,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.665103Z
Ac6Ba14Sn16,Ac6Ba14Sn16,Ba7Ac3Sn8,Sn; Ba; Ac,3,36,14633492.0,58825.0,monoclinic,P2_1,4,2,intercalated ion,-1404927.0,-6874.0,-718.0,-9.0,,semiconductor,003a107844,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.668869Z
