id,formula,reduced_formula,elements,n_elements,nsites,volume,density,crystal_system,space_group,space_group_number,point_group,dimensionality,corrected_energy,formation_energy_per_atom,decomposition_energy_per_atom,decomposition_energy_relative,bandgap_ev,bandgap_type,gnome_material_id,source,data_version,created_at
Nd4Pr2Sn6Tm4,Nd4Pr2Sn6Tm4,PrNd2Tm2Sn3,Sn; Pr; Nd; Tm,4,16,4824224.0,77336.0,orthorhombic,Amm2,38,mm2,3D,-817498.0,-6972.0,-7.0,3.0,0.0231,semiconductor,0058756a07,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.862175Z
Bi4Nd10Pb2,Bi4Nd10Pb2,Nd5Bi2Pb,Nd; Pb; Bi,3,16,5200761.0,85976.0,orthorhombic,Amm2,38,mm2,3D,-818236.0,-6973.0,-36.0,-4.0,0.0005,semiconductor,00589f6456,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.864952Z
Fe2Mo2O32P8Pb4,Fe2Mo2O32P8Pb4,FeMoP4(PbO8)2,O; P; Fe; Mo; Pb,5,48,6656951.0,47198.0,monoclinic,Cc,9,m,3D,-3698358.0,-23898.0,-93.0,-66.0,,semiconductor,0058eb0273,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.867648Z
La4Nd1Se4Si1,La4Nd1Se4Si1,La4NdSiSe4,Si; Se; La; Nd,4,10,286165.0,60568.0,tetragonal,I4/m,87,4/m,3D,-633233.0,-19402.0,-107.0,3.0,0.0154,semiconductor,00595efc77,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.870275Z
B4Ca4Er2O16Tb2,B4Ca4Er2O16Tb2,Ca2TbEr(BO4)2,B; O; Ca; Tb; Er,5,28,3663977.0,50393.0,monoclinic,P2_1/m,11,2/m,intercalated ion,-2314975.0,-35424.0,-172.0,3.0,4.2881,semiconductor,0059c589f8,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.872987Z
Al12Rb4Se20,Al12Rb4Se20,RbAl3Se5,Al; Se; Rb,3,36,11004247.0,33875.0,monoclinic,P2_1/c,14,2/m,intercalated ion,-1645288.0,-12706.0,-1333.0,-234.0,2.5293,semiconductor,005a577c89,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.875721Z
Ca20Cd3Hg8Li1,Ca20Cd3Hg8Li1,LiCa20Cd3Hg8,Li; Ca; Cd; Hg,4,32,1022121.0,44684.0,triclinic,P1,1,1,intercalated ion,-591896.0,-3741.0,-26.0,1.0,0.0022,semiconductor,005a6c7def,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.878275Z
Bi8Na16Ti2,Bi8Na16Ti2,Na8TiBi4,Na; Ti; Bi,3,26,8461348.0,41907.0,cubic,Fd-3m,227,m-3m,intercalated ion,-770751.0,-3463.0,-114.0,-1.0,0.457,semiconductor,005a97218c,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.880699Z
Cd2Er2In8Tb4,Cd2Er2In8Tb4,Tb2ErCdIn4,Cd; In; Tb; Er,4,16,4144756.0,84678.0,orthorhombic,Cmcm,63,mmm,3D,-585181.0,-4366.0,-95.0,9.0,0.006,semiconductor,005b4c8e80,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.883211Z
La8Pb6Pr2Se2,La8Pb6Pr2Se2,La4PrPb3Se,Se; La; Pr; Pb,4,18,5873701.0,78994.0,trigonal,P-31m,162,-3m,3D,-96367.0,-10027.0,-129.0,3.0,,semiconductor,005b7eb408,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.885837Z
Co5Y4,Co5Y4,Y4Co5,Co; Y,2,9,1698389.0,6358.0,monoclinic,C2/m,12,2/m,3D,-631763.0,-1965.0,-61.0,-4.0,0.0017,semiconductor,005bc41dc2,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.888484Z
